Grado,Apellido Paterno,Apellido Materno,Nombre,Nivel,Institución de Adscripción,Área del Conocimiento
DRA.,JUAREZ,CARCAÑO,MARIA DEL ROSARIO DE FATI,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
LIC.,ALBA,HERNANDEZ,FRANCISCO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,BRACHET,STAEHLING,VIVIANE,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,STERN,FEITLER,CLAUDIO MAURICIO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ALBA,VEGA,CARLOS JOSE,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,HERNANDEZ,RODRIGUEZ,ROGELIO,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,ALBRECHTSEN,SVENDSEN,KIRSTEN,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,LEZAMA,DE LA TORRE,JOSE LUIS,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
MTRA.,TORRES,RAMIREZ,BLANCA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,VEGA,CANOVAS,GUSTAVO FLORENTINO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,NEGRETE,SALAS,MARIA EUGENIA,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
MTRA.,SCHTEINGART,GARFUNKEL,MARTHA ROSA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,GARCIA,GUZMAN,BRIGIDA DEL CARMEN ALTAGR,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
MTRO.,MERCADO,GARCIA,ALFONSO,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,GARZA,VILLARREAL,GUSTAVO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,BIZBERG,GUTER,ILAN BARUCH,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,ROUSSEAU,CHAIGNEAU,ISABELLE MARIE CHRISTINE,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
MTRO.,GRAIZBORD,ED,BORIS GREGORIO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,GIL,ANTON,MANUEL,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ALVARADO,MENDOZA,ARTURO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,BLANCARTE,PIMENTEL,ROBERTO JAVIER,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,SOBRINO,FIGUEROA,LUIS JAIME,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,FIGUEROA,PEREA,JUAN GUILLERMO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,RAMIREZ,BONILLA,JUAN JOSE,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ROMERO,TELLAECHE,JOSE ANTONIO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,SOBARZO,FIMBRES,HORACIO ENRIQUE,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ORDORICA,MELLADO,MANUEL,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,POZAS,GARZA,MARIA DE LOS ANGELES,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
MTRO.,CASTILLO,GARCIA,MANUEL ANGEL,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,NADAL,EGEA,JORGE ALEJANDRO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,GOMEZ TAGLE,LEMAISTRE,SILVIA TERESA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,DAMIAN,GONZALEZ,ARACELI,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,PARDO,LOPEZ,MARIA DEL CARMEN,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,MENDEZ,MARTINEZ,JOSE LUIS,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ESCALANTE,GONZALBO,FERNANDO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,AGUIRRE,MARTINEZ,ALEJANDRO FRANCISCO,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,SERRANO,CARRETO,MONICA DEL CARMEN,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,VARELA,BARRAZA,HILDA GUADALUPE,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,FERNANDEZ,RUIZ,JORGE,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,CASTAÑEDA,SABIDO,ALEJANDRO ILDEFONSO,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ESQUIVEL,HERNANDEZ,GERARDO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,BOLTVINIK,KALINKA,JULIO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,SZASZ,PIANTA,IVONNE ROSA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,PACHECO,GOMEZ MUÑOZ,MARIA EDITH,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,SEMPERE,CAMPELLO,JAIME,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ECHARRI,CANOVAS,CARLOS JAVIER,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,COVARRUBIAS,VELASCO,ANA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,SALAZAR,CRUZ,CLARA EUGENIA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ORTEGA,ORTIZ,REYNALDO YUNUEN,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ESTRADA,SAAVEDRA,MARCO ANTONIO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,ROJAS,MARTINEZ,OLGA LORENA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,BREÑA,SANCHEZ,ROBERTO SEBASTIAN,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,SOLIS,GUTIERREZ,PATRICIO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,GIORGULI,SAUCEDO,SILVIA ELENA,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,ROMAN,ZAVALA,ALFREDO,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,SOMUANO,VENTURA,MARIA FERNANDA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,NUÑEZ,RODRIGUEZ,GASPAR,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,FLAMAND,GOMEZ,LAURA,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,CANTALA,sin apellido Materno,DAVID RENE MICHEL,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,DOMINGUEZ,SERRANO,JUDITH,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,TEPICHIN,VALLE,ANA MARIA,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,RIVERA,SANCHEZ,MARIA GUADALUPE LILIANA,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,TINAT,sin apellido Materno,KARINE CLAUDE,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,UGALDE,SALDAÑA,VICENTE,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,PEREVOCHTCHIKOVA,sin apellido Materno,MARIA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,MEYER,COSIO,LORENZO FRANCISCO,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,HERRERA,sin apellido Materno,CRISTINA MARIA,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,MORA,SALAS,MINOR DE JESUS,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,TREJO,NIETO,ALEJANDRA BERENICE,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,SONNLEITNER,sin apellido Materno,WILLIBALD,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,BLANCO,BOSCO,EMILIO ERNESTO,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,JUAREZ,GONZALEZ,LAURA,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,VAN GAMEREN,sin apellido Materno,EDWIN,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,SANCHEZ,PEÑA,LANDY LIZBETH,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,TAWIL,KURI,MARTA,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,CAMPOS,VAZQUEZ,RAYMUNDO MIGUEL,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,ZAVALA,Y CASTELO,MARIA EUGENIA,3,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,HERNANDEZ,FLORES,JOSE ALVARO,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,GARCIA,GUERRERO,VICTOR MANUEL,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,MCKNIGHT,sin apellido Materno,STEPHEN JOHN,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,CONDE,ZAMBADA,GILBERTO,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,BERASALUCE,IZA,JULEN,C,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,NOVAK,sin apellido Materno,BEATRIZ SARA,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,PEREZ,AMADOR,JULIETA,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,CROSSA,NIELL,VERONICA,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,BRUN,sin apellido Materno,ELODIE CAROLE,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,OLMEDA,sin apellido Materno,JUAN CRUZ,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,FLORES,ZENDEJAS,JUAN HUITZILIHUITL,2,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,NIETO,MORALES,FERNANDO,C,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,MASFERRER,LEON,CLAUDIA PATRICIA,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,GUTIERREZ,MARTINEZ,ANA PAULINA,C,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,NAJERA,AGUIRRE,JESSICA NATALIA,1,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,URBINA,CORTES,GUSTAVO ADOLFO,C,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DRA.,ALTAMIRANO,HERNANDEZ,MELINA,C,"EL COLEGIO DE MEXICO, A.C.",Área V: CIENCIAS SOCIALES
DR.,MENDOZA,PALACIOS,SAUL,C,"EL COLEGIO DE MEXICO, A.C.",Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR.,LARA,RAMOS,LUIS FERNANDO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,AVILA,SANCHEZ,FRANCISCO RAUL,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,LIRA,GONZALEZ,ANDRES,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
MTRA.,BOTTON,Y BEJA,FLORA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,VAZQUEZ,Y VERA,JOSEFINA ZORAIDA,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,HERNANDEZ CHAVEZ,CORDERO,ALICIA VIRGINIA,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,JIMENEZ,PLA,YVETTE DE LOURDES,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,VALENDER,WEBB,ARTHUR JAMES,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MARICHAL,SALINAS,CARLOS,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,FALCON,VEGA,ROMANA GLORIA,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,GARCIA,FAJARDO,JOSEFINA,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,BARRIGA,VILLANUEVA,REBECA,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,GARCIADIEGO,DANTAN,FRANCISCO JAVIER,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,STAPLES,DEAN,ANNE FOLGER,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,ASSADOURIAN,MARGARIAN,CARLOS SEMPAT,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,LORENZEN,SBREGA,DAVID NEAL,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,POZZI,PARDO,MARIA,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,VIQUEIRA,ALBAN,JUAN PEDRO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,BEHOCARAY,FOURNIER,SOLANGE CHRISTINE,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,LIDA,GARCIA,CLARA EUGENIA,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,CORRAL,JORDA,ROSE AURORE MARIE,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,STANTON,MAHER,ANTHONY MICHAEL,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MAZIN,GOMEZ,OSCAR ADOLFO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,MARISCAL,HAY,BEATRIZ,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MIÑO,GRIJALVA,MANUEL EDMUNDO,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,TANCK,JEWEL,DOROTHY ELIZABETH,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,ABOITES,AGUILAR,LUIS,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,ZERMEÑO,PADILLA,GUILLERMO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,CANO,ORTEGA,RUTH GABRIELA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,OLEA,FRANCO,RAFAEL,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,GONZALEZ,PEREZ,AURELIO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,KUNTZ,FICKER,SANDRA,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,RODRIGUEZ,KURI,ARIEL NETZAHUALCOYOTL,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,MENDEZ,HERRERA,MARIA AGUEDA,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,YANKELEVICH,ROSEMBAUM,PABLO SILVIO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,GONZALEZ,MONTES,MARIA DE LA SOLEDAD,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,MARQUEZ,COLIN,GRACIELA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,CARMAGNANI,FUSCO,MARCELLO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,HERRERA,ZENDEJAS,ESTHER,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,BOGARD,SIERRA,SERGIO EDUARDO,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,TENORIO,TRILLO,MARTHA LILIA,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MARTIN,BUTRAGUEÑO,PEDRO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,PALACIOS,Y OLIVARES,GUILLERMO DE JESUS,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,PANI,BANO,ERIKA GABRIELA,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,VAZQUEZ,LASLOP,MARIA EUGENIA MARCELINA,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MEDINA,URREA,ALFONSO,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,PALACIOS,ROZO,MARCO ANTONIO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,LOYO,BRAVO,ENGRACIA,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,DUBE,sin apellido Materno,SAURABH,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MARSTON,sin apellido Materno,JOHN AMOS,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,GOMEZ GALVARRIATO,FREER,AURORA,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,ZULETA,MIRANDA,MARIA CECILIA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,BANERJEE,DUBE,ISHITA,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,GUTIERREZ,BRAVO,RODRIGO OCTAVIO,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,SAAVEDRA,CASCO,JOSE ARTURO,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,CERVERA,JIMENEZ,JOSE ANTONIO,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,GREAVES,LAINE,MARIA LUISA CECILIA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,ZASLAVSKY,RABINOVICI,DANIELLE BELLA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MONDRAGON,PEREZ GROVAS,CARLOS,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,GUTIERREZ DE VELASCO,ROMO,LUZ ELENA,2,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,HAUSBERGER,sin apellido Materno,BERND,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,FERNANDEZ,GORDILLO,LUZ,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,GONZALBO,AIZPURU,PILAR,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,GARCIA,RODRIGUEZ,AMAURY ALEJANDRO,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,TORRES,PUGA,GABRIEL,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,ROSENBERG,sin apellido Materno,AARON LOUIS,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,MADRIGAL,RODRIGUEZ,MARIA ELENA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,POZAS,LOYO,JULIA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,LUNA,MARISCAL,KARLA XIOMARA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,CHEN,sin apellido Materno,YONG,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,FERNANDEZ,RUIZ,GRACIELA,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,MUÑOZ,GARCIA,ADRIAN,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,SHOSHAN,sin apellido Materno,NITZAN,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,RODRIGUEZ,VALLE,NIEVES,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,VAZQUEZ ROJAS,MALDONADO,VIOLETA,C,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,CARRERA,QUEZADA,SERGIO EDUARDO,C,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,PETTINA,sin apellido Materno,VANNI,C,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,PALACIOS,CUAHTECONTZI,NIKTELOL,C,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,BONIALIAN,sin apellido Materno,MARIANO ALBERTO,1,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA.,HERNANDEZ,HERNANDEZ,TANIA PAOLA,C,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,FRANCO,TRUJILLO,ERIK DANIEL,C,"EL COLEGIO DE MEXICO, A.C.",Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR.,BOJORQUEZ,QUINTAL,JESUS EMANUEL DE ATOCHA,C,"EL COLEGIO DE MICHOACAN, A.C.",Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA.,CORIA,TELLEZ,ANA VELIA,C,"EL COLEGIO DE MICHOACAN, A.C.",Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
